"","dep_map_id","ADAR","AKT1S1","ANXA1","ANXA7","ASNS","ATM","BAD","BAP1","BAX","BCL2","BCL2L1","BCL2L11","BRAF","C12orf5","CAV1","CCNB1","CCND1","CCNE1","CDH1","CDH2","CDK1","CDKN1A","CDKN1B","CHEK2","CLDN7","COL6A1","CTNNB1","DVL3","EEF2K","EGFR","EIF4E","EIF4EBP1","ERBB2","ERBB3","ERRFI1","ESR1","ETS1","FASN","FN1","FOXM1","GAB2","GATA3","IGFBP2","INPP4B","IRS1","ITGA2","JAK2","JUN","KDR","KIT","LCK","MAP2K1","MAPK14","MAPK8","MDM2","MET","MSH2","MTOR","MYH11","MYH9","NDRG1","NOTCH1","NRAS","NRG1","PARK7","PDK1","PEA15","PGR","PIK3R1","PRDX1","PREX1","PRKAA1","PRKCA","PRKCB","PRKCD","PTEN","RAB25","RAD50","RAD51","RAF1","RB1","RBM15","RICTOR","RPS6","RPS6KB1","RPTOR","SCD","SERPINE1","SHC1","SMAD1","SMAD3","SMAD4","SRC","SRSF1","STAT3","STAT5A","STMN1","SYK","TFRC","TGM2","TP53BP1","TSC2","TTF1","VDAC1","WWTR1","YBX1","YWHAB","YWHAZ"
"1","ACH-000004",0.275335914345859,0.0181213607184542,0.00027642742046021,0.0268643185827934,0.0357767566442044,0.0647916702429293,0.0923990257070678,0.679311959872154,0.00059873891033467,0.0594390121721963,1,0.0213520703711238,0.0193183553119313,0.0131178888940335,0.0327859610513443,0.753652925652085,0.241321298533959,0.0383380340842271,0.132376246025438,0.00122692828847409,0.999867308877714,0.0259767994322922,0.157041574714854,0.0135304308346415,0.170287427464017,0.00313096975796283,0.171566200352916,0.0779577392327524,0.0203966969020651,0.0022531115084436,0.984358151754462,0.829129031486768,0.178923497750308,0.0111520260829885,0.00649798594344518,0.00782171666895208,2.30093448278552e-05,0.0587166656889263,0.00337341581785797,0.634484493741209,0.163845609755999,0.0292716222085686,0.00046629850300365,0.0126042391874493,0.00744953207334935,0.0246637874190333,0.833717670553455,0.456484467757604,0.0474328673378321,0.0391796285209194,0.0153238731770608,0.0318647217548172,0.314271379938608,0.00013781169699118,0.0367030411190226,0.00328554375881976,0.174318619552837,0.865890530249914,0.0120981909788276,0.681417402934966,0.0312808259058026,0.0104788663355077,0.0188006809610149,0.00018265294845615,0.00677700766062051,0.0239679473965552,0.00767341560478053,0.010321690390013,0.0124031553453791,0.0320798714131897,0.194945830931342,0.00500478538013387,0.0474807298113459,0.131422852769653,0.172082553058258,0.00011228608923739,0.0193366784201131,0.0714503238758465,0.96798854187474,0.00487045541687837,0.154208856877823,0.581095299162787,0.116207846445506,0.988944593167939,0.00483641593419656,0.863013892799666,0.803150173751639,0.0315006305475679,0.3002331590443,0.0120545755491274,0.0644510043020248,0.0145152831719569,0.00637817935797826,0.858546016191629,0.00693138606712055,0.878585047619304,0.00611278336571471,0.0160728879294589,0.993781317267647,0.0425172682303123,0.471276918154715,0.9520390995865,0.564916033117436,0.207624533273547,0.0902815780287216,0.713792982916109,0.0589892227988272,0.191821384924578
"2","ACH-000005",0.185538097501037,0.013931757726982,0.0997740488013874,0.015981206457562,0.0499479468193962,0.00116082740272841,0.058186104589857,0.532995716172194,0.00045060596910628,0.00855218960971914,1,0.154813169413308,0.00785408523477503,0.00364972289832195,0.120519118189278,0.989061475286134,0.0930330802272016,0.00054245930804982,0.00395402332194998,0.0190994001979283,0.999186339170461,0.00899531945538447,0.0253379862981503,0.0339956682628452,0.411824817255558,0.00215226048882725,0.0193005879816398,0.0244177396546414,0.0570332476248356,0.00921882457353704,0.994675123641929,0.180498526459518,0.532147949238349,0.0697781238185675,0.00147947960833297,0.106395714664737,0.00221973838627903,0.00175111286548122,0.0108404270761157,0.116215329304389,0.34723955882434,0.04672650369219,0.0256734193630319,0.164375064030853,0.00038763800558706,0.00119145104570558,0.311979145226696,0.0108389450108093,0.0331995984640456,0.021879512246249,0.00028477931270455,0.014586845693,0.0222431164877549,0.0102609890571957,0.132464763146048,0.00181742831361936,0.0451971792756931,0.483877393303031,0.0432645270614839,0.424476469107485,0.00072538115222035,0.0295834503436682,0.0196469881495468,0.0109568266525532,0.00474999321322742,0.00108807341514337,0.00954353830054989,0.00640964805374761,0.0172553698517441,0.0046392328093414,0.10932133495254,0.0648093474561286,0.00065780660249177,0.00764591550365049,0.0736784049799095,0.00037143610747001,0.03643329845455,0.197144931961993,0.883932129499839,0.00019371221518251,6.05629343451669e-05,0.0451308488136889,0.0335765043717878,0.869922949412879,0.00025529013751663,0.765163547770146,0.747007437811399,0.00906712134447061,0.293846312707861,0.00826630446491118,0.0110061240315139,0.0795156941705981,0.00930702721667691,0.956693965313875,0.00082592838440919,0.707473828344351,0.0111409713012662,0.0145617067174584,0.997688046875345,0.00275844606111068,0.128346346182879,0.658581035911381,0.219815039675346,0.0986454285196188,0.0973816815089365,0.549695562852709,0.0208591115229074,0.402447734710648
"3","ACH-000007",0.182743507527559,0.0329097869828796,0.00023256808653571,0.348924966827717,0.418159209795476,0.00684526077736243,0.0135859870332176,0.895647809617348,0.0120871659173476,0.00747205766730211,0.956705299136391,0.0268909432230986,0.060813136295556,0.00182818971406899,0.00046982804301024,0.656364185376499,0.989314118500766,0.0329267043532626,0.00229617024338702,0.213919887524941,0.999777980444276,0.00023237614571633,0.00031017643123598,0.00011183096345249,0.00022276390578838,0.00029571816739761,0.376261324212428,0.0524914843625162,0.02465381762569,0.126190688014379,0.981890802554404,0.169550880435072,0.476330926434226,0.0104978702178795,0.00308940402873762,0.122307494978049,0.00064737692881448,0.863789838553269,0.0727863680553753,0.0825790712511315,0.621973144198425,0.086714852049411,0.0136228796216581,0.00429652220276431,0.0157327157894515,0.00184022579702604,0.00124280901837676,0.00070746184804692,0.0457163051270611,0.144081289048149,0.150214936439128,0.0638690884701666,0.178987260368695,3.24052671961729e-06,0.926458154110936,0.00373384933247044,0.152313839966926,0.989576926076432,0.0177424145503708,0.819864877688029,0.00076460831726521,0.0737699669844548,0.0487349495377231,0.00035687462579637,0.106501696515212,0.00259773761551373,0.0593938139527059,0.00552039856297773,1.50649053899825e-08,0.0148139356549439,0.0647076187743863,0.00066875738109679,0.196319367277991,0.00081813510339824,0.0329093672340855,0,0.00298887483234391,0.0436111669187898,0.912739511674341,0.772806974080526,0.0289651542162564,0.069478719125687,0.917307808456716,0.999540411652616,0.012550979454369,0.951872299782297,0.81966820104069,0.015176464683801,0.0516791604718264,0.00531229690502111,0.0084974329650017,0.17337850400328,0.00718819187373867,0.980904710984456,3.86600701971534e-05,0.512551001103699,8.66542049241793e-05,0.0113472217104223,0.989982317716769,0.00146760015411275,0.0246312962255319,0.363853343031044,0.0199090652216343,0.343652044225089,0.0385553715856368,0.749522673190983,0.00135824963864345,0.516062566301798
"4","ACH-000009",0.184050750607854,0.0265986998959675,0.0220459029979477,0.0442387422635613,0.650712976666669,0.0268119686127143,0.05058274984856,0.581285957760732,0.00115876932950293,0.0711446959153497,0.956289581237847,0.104963181026679,0.0740036755727263,0.00999237658815577,0.0237112106732783,0.524908489061589,0.807217066398914,0.0154561278814194,0.306616421980206,0.0164686951375385,0.981434579872554,0.01159000364491,0.0498908808933346,0.002162787778211,0.03555573667069,0.00136578737822352,0.732362004312725,0.103664470627508,0.00446207068648403,0.720608509795223,0.946644981015797,0.0858939830634066,0.935665120783696,0.0288897296358115,0.00612608262559507,0.0292413619734132,0.00137951477961669,0.703153341644367,0.00818946042885187,0.281321055018101,0.441220244795359,0.193303367146062,0.00317387373959896,0.0634658196075075,0.28442365635274,0.00109571382456151,0.00447268717992968,0.0175849717418686,0.0576295031941641,0.0236503542383706,0.0034283224402402,0.12487612260859,0.050344665911471,8.3024292211423e-05,0.0637722098929015,0.00366740078378465,0.236866875076213,0.959675977291363,0.0174600454780193,0.951850780313431,0.0157007184696744,0.0673567167088426,0.0935787747439167,0.00034991505207648,0.0616838215100086,0.0230307413680031,0.0356442335983864,0.00349890582295375,0.00629320222760429,0.0146176340545353,0.0305905362703019,0.02804112787843,0.275727279909272,0.00268718134903785,0.0981631132205402,9.42423081586694e-05,0.206023158234321,0.087411349847298,0.887496688878256,0.0174320503355757,0.00079755858711304,0.450791412501795,0.266836165212576,0.983738230294258,0.0475725034430183,0.909870593409352,0.905932721462403,0.0105293348845729,0.50303833588794,0.0113889012440674,0.00336987895113651,0.0750197938555081,0.123144056398573,0.980991748036151,0.00560499831288222,0.851722907526041,0.00420135673625196,0.0080770697298609,0.97100798404107,0.00484046185258672,0.218556972166775,0.383365327886999,0.322773602433537,0.217449401084396,0.0268647938049626,0.870118833084322,0.0009683811496622,0.166347504761798
"5","ACH-000011",0.618766191009515,0.00135020154415135,7.80893483699789e-05,0.0510760825894963,0.583364722365488,0.00010071376111623,0.126341163045958,0.899651518196514,0.0414942590385616,0.00509246598594351,0.833981787959652,0.137303654993114,0.0326291854138769,0.00761786755034073,0.0533944422393247,0.873110485316046,0.606886289917658,0.0297177512816511,0.0146779598839573,0.821226130182275,0.989180248025313,2.97433311822711e-05,0.00198519979857274,2.06494671131594e-05,0.137569131236229,9.09153000512333e-05,0.233978745842383,0.278110362542851,0.0166756656227255,0.0313925415474221,0.934730156145862,0.3262054114661,0.490119525747521,0.0886418101358286,0.0045190976278252,0.120876931017018,0.00315176135328958,0.0354650501898265,0.00567351464470799,0.586958099641869,0.323630325684876,0.43742507653348,0.0002584653473931,0.0185452715693264,0.00531451128897603,0.053697004127627,0.00878612343656728,0.0309408034919326,0.0330275451769217,0.100194998336871,0.00456556750942876,0.0833465925535583,0.241788904843348,0.00115802048544781,0.983025736965361,0.00355548230626288,0.146248525717775,0.977488445619422,0.054111997816363,0.705938188926888,0.010644083396596,0.00669346584049727,0.00044551390572363,0.00042755426801173,0.00527027025297804,0.0229132004488938,0.017945156770223,0.00827264723752183,0.00514662630092655,0.00839084960829812,0.00856770878306795,0.0269271842680346,0.102324268784724,0.0223220452994061,0.0269537784741415,9.32782581901796e-08,0.00972612024669185,0.0230521294984089,0.934233521817893,0.00012016204319333,4.10377089285299e-05,0.00588344355768515,0.968424785355815,0.992321154879848,0.0835024743014755,0.807699940732081,0.886302629328914,0.0416760616532976,0.394112984853044,0.0167517418131446,0.00172776396672804,0.0114178978601132,0.651777789266191,0.863681900685006,0.00354720130062986,0.564544725405534,0.0307242881249813,0.00163170097712545,0.894913149178269,0.00370716487388679,3.20268835704652e-06,0.0803312171878046,0.228714677558156,0.371723632384523,0.945342987430382,0.833421293163677,0.00942332922889139,0.379899751061503
"6","ACH-000012",0.683744822802918,0.0194106914900989,0.00890282373617393,0.0205717963135106,0.207532383524416,0.117393159323602,0.278582888442184,0.931246030712324,0.00182740770463356,0.0812449917875837,0.986997680755627,0.0312358360615548,0.0965585845695474,0.00076107706364115,0.00206330727167871,0.886723036625536,0.995375682418648,0.0563085071269861,0.0214545476852884,0.0176153336165342,0.988089271408847,0.0167022887552133,0.0298585517846123,0.00047037281113231,0.146811106432265,0.00103852531119739,0.0195004222622889,0.0366743816377285,0.0134153968274565,0.126650521568787,0.977469801653367,0.140479365009774,0.355159117085194,0.00655946461105495,0.00152470615621199,0.162844681171483,0.00338004234426216,0.0165148802456893,0.0168218067972733,0.264311694579296,0.200523193698201,0.334985944139473,0.0008439328364857,0.0199116991327944,0.0156750535217223,0.00889614086743014,0.0002141800614495,0.122072417681106,0.0888219923391646,0.332978301288781,0.068445115533268,0.0266227345566304,0.0287331209094852,4.53635972159703e-05,0.0450247868611388,0.00313191272331949,0.21602656967206,0.987269265159167,0.0935580965499517,0.992086482978286,0.00241868463688192,0.037059467098768,0.0924485223890591,9.33500894755228e-05,0.0419787523257752,0.00405769821711256,0.0206108739261087,0.0156547520194823,0.00785429743603742,0.065103059892915,0.022196965384323,0.00676934395219424,0.102883826772175,0.0339579855678042,0.0564602486561862,0.0360255555733645,0.118545751687184,0.248418766537012,0.98541662289568,0.00228057084328507,9.84687076159508e-05,0.423552607120129,0.0815189269614476,0.989727483228448,0.0347912195381796,0.851881349011112,0.940175750571525,0.0289776452358059,0.14095199243303,0.00881446894616084,0.0149410742938893,0.00384483261260869,0.00575622182255756,0.963920267778113,0.121500579370848,0.848145368288916,0.0146545904300481,0.00400891774113309,0.978763035310079,0.00040137607980841,0.106973996860192,0.559699389359565,0.11899481994989,0.525738676476351,0.00674259240656169,0.581753777797512,0.00343558191148615,0.292746777471236
"7","ACH-000013",0.659826060849222,0.033727106361442,0.0091405831563689,0.0956735710877976,0.0525780308875178,0.100165408107061,0.0531822527175477,0.838381806275382,0.0116160783901002,0.0113159468232276,0.772809544590044,0.0295654593204152,0.00353600202787968,0.00208951289629359,0.00548945995235739,0.690563321657216,0.288280937084445,0.947865163784869,0.0855877514712171,0.0130197141185486,0.992189941405041,0.0280241888390898,0.0232923612387281,0.00149636971063771,0.203301213947415,0.0004002479303723,0.0326692068676076,0.0682614963604577,0.0338764647227209,0.00515060458187491,0.86646938883798,0.24548686500998,0.28684415489808,0.0651236528310766,0.00155832333149319,0.0449118951532894,0.0052853085684967,0.0493167220353076,0.004659854920878,0.0631344920247024,0.136133626224675,0.196779225981522,0.00261782887475857,0.00759077015885568,0.0027265754297767,0.00554908160737535,0.0006758999339025,0.101597230618924,0.0155289146420576,0.0137234399172368,0.0832991727944868,0.0778812501671837,0.0694732985753414,6.40951856724823e-05,0.059453520064775,0.00196697103607171,0.172136038615555,0.990449028761165,0.125156573897009,0.955870248584679,0.00862882397289647,0.0383387359344523,0.041956417644241,0.00019338065540083,0.00942809079916568,0.0262725909986495,0.0228781555214379,0.0093516041034252,0.674618767681217,0.0286852727638521,0.0505635267354591,0.00022245520432079,0.0548651566977681,0.0555639963420584,0.0165961249891567,2.72051313177667e-07,0.186087716322035,0.0962981725984475,0.535115423580678,0.0005348607319306,3.44796489406318e-05,0.202360475440471,0.859576747829635,0.990224067926267,0.0178051091316258,0.923927016631914,0.1196424834796,0.0140728291488405,0.0714358159560801,0.00456782820718805,0.00446633443737641,0.00181347521951604,0.00447875178499106,0.963932379813965,0.0120804952155467,0.495372737156735,0.0164140969335493,0.0245584071077652,0.502325272877474,0.00046038499534443,0.105570909967671,6.37423263930015e-05,0.451275728200836,0.386183079594846,0.970690580634875,0.611934392979332,0.00759131376451779,0.537726296805142
"8","ACH-000014",0.591865411860868,0.0158922327638189,0.00175728503474416,0.0247261457597568,0.635300666983291,0.00283037096328365,0.0306168908374531,0.67693656053962,0.133619218209381,0.107201093916028,0.866550700916572,0.0229683470409548,0.997089609504541,0.0294501733817595,0.00541956259240477,0.70522281622812,0.963308904334025,0.117863748638314,0.0454399566913143,0.0647045009407375,0.999948418142263,1.07079633850085e-07,4.83804780592681e-05,0.00011105323085095,0.0326703884113919,0.00044249208583954,0.0398362312517345,0.200041733066787,0.00210289393742758,0.0147835099715956,0.977051508897955,0.129032668905759,0.235316480791035,0.0270277090020205,0.00074494980310594,0.0193126181438503,6.71871298248188e-06,0.51717552927192,0.00988644018241689,0.415633706382828,0.621482078630692,0.234248790367499,7.15342231924601e-05,3.20683006446212e-05,0.0117261256206742,0.0265804724509606,0.00193350156855281,0.295651335899985,0.0285842229809377,0.311513901071211,0.00056101752675028,0.509193355099658,0.253293630745115,0.00025938332016559,0.985827423551044,0.00240815008356454,0.130356555236126,0.964302819776636,0.0925145646950814,0.398755227611297,0.00069960432597936,0.113082869301088,0.0535738066862255,0.00153355903938558,0.016462908487588,0.0249910638602938,0.00197110927705185,0.00396298181169178,2.62932906935311e-06,0.00744014584609249,0.35426104134453,0.0779201702988382,0.0625080951171493,0.0028166757259233,0.0122052836980546,0.00027490984448901,0.0404488758290408,0.0688028156051247,0.936729976205645,0.00326427642854267,0.000113932690596,0.701248384039436,0.827754564918154,0.999070791803156,0.0141460288427942,0.926456376826851,0.930942459059362,0.108646073570203,0.0277600022055144,0.00755392018228918,0.00051420900539049,0.0263268818775981,0.0427834417337246,0.940878202691628,4.48275605225784e-05,0.66589358736707,0.0352857885038877,0.00586225572958718,0.940721342308912,0.00315277740420077,0.0130219135157548,2.0755365234318e-06,0.240034708667456,0.438071875685705,0.419168377020072,0.906810424349435,0.156493371149625,0.154708001342138
"9","ACH-000015",0.525044380953407,0.0324343784125722,0.00323772212129002,0.17338121072515,0.0497134402648199,0.0421737600442712,0.0555699624578749,0.371663738901685,0.00083229510076646,0.013503657715541,0.967305554829477,0.0451039274794217,0.423732932139696,0.0123148221405321,0.00290012931300916,0.966848184343298,0.335339383871018,0.0430543919570375,0.0338395233133205,0.0494528538063808,0.983505078330357,0.00089426139439974,0.105174500343359,0.0081776395641173,0.136566834999093,0.00085535750459524,0.947223462528873,0.0517775959456214,0.0971728093871337,0.0147635520923892,0.969086269529231,0.270856662359863,0.219467401865986,0.0553525868453385,0.00203033604166637,0.0202068446699429,0.00014084061594709,0.0498598183118152,0.0103276722434565,0.313565860680303,0.370683267279047,0.0555234243795303,0.00021534471919048,0.0396119885245176,0.0778349579015505,0.0712038463727302,0.00411685626909463,0.0571587309988145,0.0931978795270685,0.114185124176186,0.0118446887296782,0.0773952036796012,0.0541004557363138,6.59990108657879e-05,0.0960299271695795,0.0103617380839693,0.0573303958443649,0.981017452108482,0.191316380889176,0.0182404587918108,0.0275000234766619,0.012504344834023,0.405325315973833,0.00039274292907357,0.0118176401120345,0.0160447853812939,0.00732522421501381,0.00941786387807628,0.00469612271542137,0.204822727662947,0.103734516703367,0.00136191140469894,0.0605288855240038,0.0525494490285275,0.0668280882330608,1.43761109993533e-16,0.0690263277449259,0.277285618914975,0.910144071975607,0.042423967599905,0.0335321422541713,0.295339351735784,0.0442471901417818,0.983611621868745,0.0246319032622781,0.866721029092319,0.877801733960334,0.00506324700801671,0.0795515788139925,0.0166355136319673,0.00842116051669274,0.0117718844758764,0.00650477191953548,0.975858017421362,0.00520502214791078,0.196396304619337,0.629562479150684,0.0158383971051141,0.204425757206532,0.00058228818212999,0.0533867672219827,0.0470698716343107,0.692990492399375,0.689165420954219,0.334031474339068,0.921637791624554,0.00397415323127048,0.109243456812513
"10","ACH-000017",0.0418864877356713,0.002414267775687,0.00042955250613274,0.0327871950766589,0.0682883231389819,0.021189848029027,0.0972459320680865,0.915496377899723,0.00040376308223164,0.0201143013681005,0.38111032923518,0.00706314874785928,0.0241114340298442,0.0412028333789708,0.0148344873978361,0.421713818899212,0.388758506686444,0.556815684703124,0.247363008345125,0.00384723101093169,0.990534314737912,0.0374922019304956,0.025770736355366,0.00507916168253364,0.00193001415612513,0.00042836965944609,0.0330852093903091,0.0572801987363792,0.0120680961847073,0.00073528755522146,0.927435480810779,0.258093520617579,0.971957279108563,0.959296523678257,0.0135346083498851,0.0372790204975445,0.00354052415598732,0.0490564295454994,0.03062797447773,0.2570865871338,0.339197018494649,0.591455031653323,0.00379478674929105,0.0303933084300472,0.00831535834005605,0.00150237305403367,0.00139372257990986,0.0651843001864768,0.153080485326915,0.174382279766938,0.00281886574229206,0.0710566987944133,0.462759865181497,0.00019972079556025,0.25162769454639,0.00105823389942867,0.211297996009111,0.99755263169553,0.0866136500522935,0.933215079081413,0.00724921194750387,0.0103053809252639,0.022026613963464,0.00036766425503609,0.128975032965694,0.0137470217281397,0.0438666601314516,0.00040704202940785,0.0301697812966046,0.00683330766389182,0.744871445664857,0.00892935336041624,0.337620376882128,0.0081628058466162,0.0567747494736363,0,0.00028095420625078,0.293472088020481,0.710369782825028,0.00138476614911752,0.025947534238604,0.163045426891337,0.967979400218194,0.985756498769355,0.0424677935958997,0.939842484038134,0.32478632894782,0.0342404959319799,0.0949727671294837,0.00305699683589094,0.00232796089577286,5.73689857697767e-05,0.0126768984902881,0.999094335755474,0.00872326705739449,0.826157402378203,0.0213624542178742,0.0072204552052928,0.991557904552898,0.00674427206133894,0.0681227961354126,7.04896903843687e-07,0.151212544937037,0.301992038455862,0.63995678382326,0.760747746931229,0.215831154214373,0.755385763705406
