"","ccle_id","ADAR_RPPA","AKT1S1_RPPA","ANXA1_RPPA","ANXA7_RPPA","ASNS_RPPA","ATM_RPPA","BAD_RPPA","BAP1_RPPA","BAX_RPPA","BCL2_RPPA","BCL2L1_RPPA","BCL2L11_RPPA","BRAF_RPPA","C12orf5_RPPA","CAV1_RPPA","CCNB1_RPPA","CCND1_RPPA","CCNE1_RPPA","CDH1_RPPA","CDH2_RPPA","ADAR_dependency","AKT1S1_dependency","ANXA1_dependency","ANXA7_dependency","ASNS_dependency","ATM_dependency","BAD_dependency","BAP1_dependency","BAX_dependency","BCL2_dependency","BCL2L1_dependency","BCL2L11_dependency","BRAF_dependency","C12orf5_dependency","CAV1_dependency","CCNB1_dependency","CCND1_dependency","CCNE1_dependency","CDH1_dependency","CDH2_dependency"
"1","2313287_STOMACH",0.412941770593646,0.136259585525977,0.592838964234766,0.241529042629622,0.652278011355805,0.58672590691717,0.336761493607193,0.487613479751436,0.506638142276312,0.102372147778398,0.367609415555357,0.465382284479088,0.614406625968369,0.42029244329371,0.127031883228343,0.495961732321878,0.318393002004293,0.262401160891114,0.675060840991663,0.140977989003109,0.147710627662139,0.0103738508529271,0.00234781981007646,0.0777452359364056,0.232387637889924,0.0274770181336355,0.00731090419097197,0.685820944787497,0.00114654051133505,0.0438625722571775,0.984429217052246,0.0309228178190798,0.0243417534626144,0.00958755203604472,0.0743201791598395,0.748730534554011,0.988531537450479,0.188658252692397,0.310467405723162,0.0128038091478792
"2","253J_URINARY_TRACT",0.39818839500185,0.270930355164227,1,0.23844799767455,0.668605799785957,0.571697650339517,0.339951450767468,0.570890001683906,0.487861380194832,0.222554022290583,0.525751812404905,0.31579105925281,0.384166506015494,0.237792207070364,0.524007347052972,0.625704617247912,0.391590468164729,0.437044273773279,0.419586026812982,0.48148316239961,0.618766191009515,0.00135020154415135,7.80893483699789e-05,0.0510760825894963,0.583364722365488,0.00010071376111623,0.126341163045958,0.899651518196514,0.0414942590385616,0.00509246598594351,0.833981787959652,0.137303654993114,0.0326291854138769,0.00761786755034073,0.0533944422393247,0.873110485316046,0.606886289917658,0.0297177512816511,0.0146779598839573,0.821226130182275
"3","42MGBA_CENTRAL_NERVOUS_SYSTEM",0.227375397940984,0.375854460866007,0.427902497605348,0.318910705709942,0.606161455160001,0.824665423869734,0.379358630223344,0.569851320340552,0.421354435560892,0.237844606635199,0.228685223306185,0.430334431611259,0.430834457891543,0.162237227204326,0.770789507008124,0.556010070696734,0.28617037719557,0.296124569627473,0.0993224392832011,0.288054754713993,0.225171912427994,0.0221459214529744,0.00503204463743166,0.159025165588717,0.423938201550509,0.0162328590778942,0.0324456500889355,0.456211862465304,0.00445519878574368,0.0143049361372016,0.0908316349109581,0.00944928024298288,0.0362646385259758,0.00644804379975316,0.00851185790581826,0.751463309929906,0.468960930154006,0.0628053579934382,0.053665223099262,0.0174467626407758
"4","5637_URINARY_TRACT",0.685517908805749,0.407796317761738,0.509435338924371,0.309258081662579,0.44505980744986,0.536641506546938,0.332173891079434,0.725857879400704,0.240949381941223,0.288492345377031,0.45660329109716,0.636423363264398,0.180849809003606,0.111674556486137,0.65633897369516,0.623651422183821,0.29879298550909,0.277822471545987,0.729700137413067,0.487575366137876,0.745003521711775,0.00661704394237032,0.00048407990915417,0.0328369403209203,0.0942455429565236,0.031156144880755,0.126072181053318,0.705332964966793,0.00046869237189966,0.00488405908489251,0.982903869522331,0.0723412461275317,0.0137395382727056,0.00146993239349376,0.00105492461313064,0.339834154428641,0.36880508705095,0.130441989983146,0.161081100681751,0.0394474745655218
"5","59M_OVARY",0.287346862729642,0.254038525276567,0.555470798938316,0.399775237903191,0.600039070228113,0.620810909855611,0.523704454836742,0.499181479864786,0.255934728627173,0.107166276702711,0.315836966667093,0.291484463039229,0.447248580914641,0.158642765777847,0.539185813705627,0.796270248251365,0.286798076357053,0.250260414986697,0.167196308977595,0.506562171058088,0.618379418116714,0.0986479006896635,0.0116940998908478,0.0580308043086645,0.922953073626501,0.166237931086937,0.0396120610538912,0.898091979603447,0.0002309546582618,0.00658245741697272,0.873190249680799,0.111840249307121,0.153357948182468,0.00241390073344668,0.0598894695174717,0.923500585488759,0.943639399037502,0.0401362049240455,0.226083917983876,0.262598018879547
"6","639V_URINARY_TRACT",0.249622000851606,0.453386157113199,0.240408064456119,0.264268811222539,0.664326600562495,0.723139922896025,0.363973480521107,0.736983377283832,0.349083744917729,0.16362364610568,0.267392374474179,0.435127249844972,0.595087358537717,0.255584235311802,0.553967339464591,0.810185751830347,0.281768928010084,0.339499745182275,0.244851856543828,0.289998788695619,0.733785284499223,0.00453315278702513,0.00410866519542722,0.064851916364803,0.931593000021556,0.0722753347363589,0.0248082945640035,0.76282941913289,0.00554280493355671,0.0101338134516845,0.95853232374592,0.0127976437579783,0.0491963741381725,0.0230826927548503,0.00974489618797524,0.841383786305958,0.75010154277389,0.055662195621912,0.113113255048954,0.960886959988658
"7","647V_URINARY_TRACT",0.496850604251769,0.189769393180291,0.556607282093126,0.207565614818968,0.58094885353213,0.625949331334956,0.2903724019767,0.416054820140827,0.347999672551641,0.104372394180555,0.374335771183082,0.53398141350551,0.449571668273178,0.205784487460588,0.519585874435406,0.602607557731396,0.280664001201254,0.348726499563414,0.66185023120048,0.0968821275638102,0.0797788082026712,0.003458177450453,0.00742961111591903,0.0856525325840071,0.954967802074156,0.0332930785014394,0.0433250967175457,0.542899421376036,0.00290775897510501,0.0146686052073823,0.594497968931389,0.0176109826436704,0.0603972696107861,0.0146865490526074,0.013070798830346,0.452233887517282,0.178208687969218,0.184193980756054,0.394381082584671,0.00856141998590389
"8","697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0.301227134775884,0.408823740040212,0.192995488374483,0.219633311134244,0.593651654767943,0.742586179039396,0.251841381985004,0.726404467746656,0.383835839222856,0.548084620652129,0.274315313702676,0.692709344418878,0.562623255149763,0.152692595733287,0.0878934732252428,0.614447880093408,0.258516042372527,0.136509251420282,0.145533052170789,0.242156021638216,0.0665858726694409,0.00135868695506112,0.011084405763012,0.0847238223126166,0.643415289168028,0.0597069601476068,0.0168249750317751,0.858429006246953,0.00024810732874991,0.463050404351293,0.900480763263785,0.00184270545358183,0.183675596471428,0.021824132415054,0.00690674456298177,0.622230740235067,0.620200751758012,0.00462238107347331,0.0222159841757914,0.0012325446596088
"9","769P_KIDNEY",0.562899096007824,0.200256297774686,0.448743337295025,0.285374160790394,0.66550064294443,0.557216261282846,0.331437180418862,0.531915473354772,0.47069326275002,0.382957161101566,0.477572208512869,0.381129281225078,0.369135553889543,0.17890915804683,0.519000171145835,0.591756092890977,0.493103021675768,0.205893480498949,0.14639708377889,0.451701037558887,0.402435329836793,0.0080665489661426,0.00021672529522562,0.0376982667633046,0.460941236806938,0.00023499257362956,0.100000322999658,0.584495334463912,0.00069226147406629,0.00642890494290873,0.883272504785787,0.0624260448905437,0.0254937784405059,0.00551715915008133,0.00584316784666804,0.395988737232092,0.984916553693231,0.0729016495402506,0.0120530459671291,0.93183787419489
"10","786O_KIDNEY",0.374475807865927,0.641764661639795,0.516281780174586,0.303670278956767,0.611875579711077,0.577094954926555,0.475662500217067,0.597992445854784,0.368306273364805,0.158717893202808,0.280620053445168,0.385520609780046,0.50066045482132,0.154867058817559,0.673292735053461,0.718288307019486,0.243229647547236,0.120537321973864,0.101072311960376,0.353114632901218,0.385613102936573,0.014460004876433,0.00642641187693331,0.0949378614765005,0.115361656145055,0.029873954479011,0.088984588401583,0.72038405721216,0.00233506191697144,0.0367994510988356,0.938763507144483,0.056988232400396,0.021555271290187,0.00801848554366769,0.00313349021095371,0.746964181491714,0.972795719064643,0.00864802304190516,0.0603445764408337,0.913498988795837
